

latent_semantics 1
13, -112438.75098058803
21, -112803.86052992643
38, -115183.69973071216
27, -115612.35216374209
14, -116863.29633848871
25, -116986.45382183214
7, -117871.11919971362
6, -117952.90009705527
4, -117955.37802397484
40, -118047.84943311068
19, -119643.19839475182
9, -120070.17133409901
3, -120390.81190001855
5, -120517.33059167906
35, -121835.85726552905
32, -122960.50286413783
36, -122987.8208139371
20, -123026.82886221042
11, -123529.65412829128
17, -124892.10157397884
18, -126280.60691085013
2, -126481.82230937187
31, -126653.4379737091
15, -126824.90900750314
29, -127877.31151337193
16, -128012.39306596303
28, -128671.71104365714
23, -130151.98975628236
12, -130772.1193826386
30, -131227.7568473107
39, -132794.78363542526
10, -139808.0549498308
24, -142576.2169879711
26, -142786.00745141142
8, -162898.85080794425
37, -166445.8445376321
33, -170294.71358657224
34, -170624.30076279494
22, -199683.2084833352
1, -208330.20802084878


latent_semantics 2
22, 69954.45088030641
34, 56332.174748098805
33, 49443.78066463857
37, 39835.77809251651
39, 22679.741282649593
31, 22198.724406605343
29, 19030.42357822605
30, 15984.935802106425
2, 12617.53530098007
17, 10731.199044585972
35, 3644.9946854649997
20, 2324.912821801169
26, 1614.2492981811736
28, -1664.1436502930458
14, -3906.2066426108036
24, -8089.948280352892
36, -8538.150347278279
13, -8935.048974791582
1, -8965.812923996764
19, -9199.47990500397
3, -9345.547592349465
6, -14522.912672254704
7, -15079.120468898553
40, -15845.295352094885
38, -16186.53849399158
5, -16299.020236274699
16, -16999.6189909458
11, -17003.404710628907
32, -17101.7882665725
4, -17143.72039409173
12, -17653.21139023585
21, -18098.751204528417
27, -18447.64325979714
9, -18940.451577961314
15, -19065.73454809895
25, -21663.964902908934
10, -22834.076471403634
23, -23284.75108493862
8, -24267.191579874467
18, -27184.652903057566
